cenote-mexico	尤卡坦天坑	墨西哥	La Palapita de los Tamales	['香蕉叶tamal', 'relleno negro黑酱火鸡']	Tamale_Oaxaqueño.jpg
death-valley	死亡谷国家公园	美国	Badwater Saloon（Stovepipe Wells）	['酒馆汉堡', 'Root Beer Float', '辣椒芝士薯条']	RedDot_Burger.jpg
death-valley	死亡谷国家公园	美国	The Inn at Death Valley Dining Room	['椰枣面包', '沙漠景观晚餐牛排', '周日早午餐']	Date_and_walnut_bread.jpg
denali	迪纳利峰	美国	West Rib Pub & Grill	['驯鹿肉汉堡', '哈利比特鱼薯条', '阿拉斯加琥珀啤酒']	Cheeseburger_and_steak_fries_at_Rentier-Burger.jpg
denali	迪纳利峰	美国	Mountain High Pizza Pie	['烟熏三文鱼披萨', '驼鹿香肠披萨']	A_Smoked_Salmon_and_cheese_pizza_Pizzeria_Jacomax.jpg
denali	迪纳利峰	美国	229 Parks Restaurant	['阿拉斯加帝王鲑', '本地菌菇意面', '云莓甜点']	Grilled_plated_salmon_fillet_(cropped).jpg
dubai	迪拜	阿联酋	Al Mallah（Al Dhiyafah路）	['鸡肉沙威玛', '鹰嘴豆泥', '鲜榨甘蔗汁']	Шаурма_6.jpg
dubai	迪拜	阿联酋	街头Karak茶摊	['Karak奶茶', 'Chapati卷蛋']	Karak_Tea.jpg
dubai	迪拜	阿联酋	Ravi Restaurant（Satwa）	['黄油鸡', '羊肉Karahi', '现烤馕']	Butter_Chicken_&_Butter_Naan_-_Home_-_Chandigarh_-_India_-_0006.jpg
dubai	迪拜	阿联酋	Bu Qtair（Umm Suqeim渔村棚屋）	['现炸石斑', '咖喱虾', '印度香饭']	A_Plate_of_Fried_Fish.jpg
dubai	迪拜	阿联酋	Al Ustad Special Kabab	['酸奶腌鸡肉串', '藏红花米饭', '烤番茄']	Chicken_Malai_Tikka.JPG
dubai	迪拜	阿联酋	3 Fils（Jumeirah渔港）	['和牛寿司', '焦糖鳗鱼手卷', '柚子挞']	Wagyu_sushi_01.jpg
easter-island	复活节岛	智利	Empanadas Tía Berta	['金枪鱼芝士empanada', '虾仁empanada']	Tapa_de_empanadillitas.JPG
easter-island	复活节岛	智利	Te Moana	['椰香生鱼Ceviche', '烤章鱼', '岛产红薯泥']	Cebiche_de_corvina.JPG
edinburgh	爱丁堡	英国	The Piemaker	['苏格兰肉派', 'Macaroni芝士派']	MeatPie.JPG
ephesus	以弗所	土耳其	塞尔丘克周六市集Gözleme摊	['菠菜芝士Gözleme', '土豆馅Gözleme', '现打Ayran酸奶']	Gözleme.JPG
everest-summit	珠峰登顶	尼泊尔	徒步道边茶棚（Lukla至EBC沿线）	['甜奶茶', '酥油茶', '煮鸡蛋']	Chai_In_Sakora.jpg
faroe-islands	法罗群岛	丹麦	托尔斯港码头 Fish & Chips 餐车	['炸鳕鱼薯条']	Fish_and_chips_blackpool.jpg
fez	非斯	摩洛哥	老城B'sara豆汤摊（塔拉小巷）	["蚕豆浓汤B'sara", '现烤圆面包']	Bissara_Moroccan_split_pea_and_fava_bean_soup.jpg
florence	佛罗伦萨	意大利	L'Antico Trippaio（街头牛肚车）	['lampredotto牛肚包', 'trippa alla fiorentina']	Lampredotto_2.jpg
gansu-mingsha	敦煌鸣沙山月牙泉	中国	沙州夜市红柳烤肉摊	['红柳烤肉', '烤羊排', '杏皮水']	Lamb_kebabs_on_tamarisk_skewers_at_Gülhan_Restaurant,_Beijing_(20210402165927).jpg
glass-beach	玻璃海滩	美国	Headlands Coffeehouse	['比利时华夫饼', '面包碗浓汤']	Waffle_with_strawberries_and_confectioner's_sugar.jpg
glass-beach	玻璃海滩	美国	North Coast Brewing Taproom	['炸鱼薯条', 'Red Seal琥珀艾尔']	Fish_and_chips_blackpool.jpg
glass-beach	玻璃海滩	美国	Mayan Fusion	['尤卡坦烤猪(Cochinita Pibil)', '炸大蕉']	Cochinita_pibil_2.jpg
gobi-desert	戈壁沙漠	蒙古	达兰扎德嘎德市场炸肉饼摊	['Khuushuur炸羊肉饼', '咸奶茶']	MongoliaLastDay_153.JPG
gobi-desert	戈壁沙漠	蒙古	牧民家的奶食拼盘	['Aaruul奶疙瘩', 'Airag酸马奶', '奶皮子']	Aaruul_-_Arkhangai_(2018).jpg
gobi-desert	戈壁沙漠	蒙古	Bulgan村路边饭馆(guanz)	['Tsuivan炒面', 'Buuz蒸肉包']	Cujwan.JPG
gobi-desert	戈壁沙漠	蒙古	Gobi Mirage营地食堂	['Buuz蒸肉包早餐', '羊肉汤面']	Buuz.jpg
gobi-desert	戈壁沙漠	蒙古	Gobi Erdene蒙古包营地餐厅	['Khorkhog石头烤羊肉', '手切土豆胡萝卜']	Khorkhog.JPG
gran-sabana	安赫尔瀑布	委内瑞拉	卡奈马村的arepa小摊	['Arepa玉米饼夹奶酪', '木薯饼']	Arepa_filled_with_queso_llanero.jpg
gran-sabana	安赫尔瀑布	委内瑞拉	Rápidos de Kamoirán公路餐站	['Cachapa甜玉米饼', '炸鸡配木薯']	Cooking_a_cachapa.jpg
gran-sabana	安赫尔瀑布	委内瑞拉	圣埃伦娜市场食堂	['Pabellón criollo国民饭', '现打甘蔗汁']	Pabellón_Criollo_Venezolano.jpg
grand-canyon	大峡谷	美国	Bright Angel Fountain冰淇淋窗口	['软冰淇淋', '热狗']	Soft_Serve.jpg
great-barrier-reef	大堡礁	澳大利亚	Cairns Night Markets美食档	['叻沙', '澳式烤肉串']	Nyonya_Laksa.jpg
great-barrier-reef	大堡礁	澳大利亚	Meldrum's Pies in Paradise	['牛肉派', '鳄鱼肉派']	Meat_pie.jpg
great-barrier-reef	大堡礁	澳大利亚	Fish D'vine & Rum Bar(Airlie Beach)	['炸鱼薯条', '朗姆酒单300+']	Fish_and_chips_blackpool.jpg
guatape	瓜塔佩巨石	哥伦比亚	广场边的炭火arepa摊	['Arepa con queso奶酪玉米饼', '烤肠']	Arepa_filled_with_queso_llanero.jpg
guatape	瓜塔佩巨石	哥伦比亚	Oblea焦糖薄饼摊	['Oblea配arequipe焦糖酱', '加奶酪加果酱']	Obleas_y_solteritas_0.jpg
guatape	瓜塔佩巨石	哥伦比亚	石头顶上的michelada摊	['Michelada盐边辣椒啤酒', '芒果青撒盐']	Michelada_mexicana.jpg
guatape	瓜塔佩巨石	哥伦比亚	La Fogata	['Bandeja paisa国民拼盘', '烤鳟鱼']	Bandeja_paisa,_plato_Colombiano.jpg
guilin	桂林漓江	中国	石记米粉（桂林）	['卤菜粉', '锅烧']	Guilin_mifan.jpg
guilin	桂林漓江	中国	崇善米粉（桂林）	['原汤粉', '牛腩粉']	Guilin_mifan.jpg
guilin	桂林漓江	中国	谢大姐啤酒鱼（阳朔）	['漓江啤酒鱼', '田螺酿']	Pijiu_Yu_(Beer_fish)_(253141965).jpg
guilin	桂林漓江	中国	椿记烧鹅（桂林）	['脆皮烧鹅', '荔浦芋扣肉']	Roasted_goose.jpg
hallstatt	哈尔施塔特	奥地利	Konditorei Maislinger	['苹果卷Apfelstrudel', '现烤农夫面包']	Strudel.jpg
hallstatt	哈尔施塔特	奥地利	Gasthaus zur Mühle	['窑烤披萨', '烤肋排']	Pizza-3007395.jpg
hallstatt	哈尔施塔特	奥地利	Gasthof Zauner Seewirt	['烤鳟鱼', '鹿肉炖菜']	Grilled_trout,_Restaurant_Trofta,_Istog,_2025.jpg
halong-bay	下龙湾	越南	Chả Mực Thoan（下龙一号市场门口）	['手打鱿鱼饼chả mực', '白糯米饭xôi trắng']	Chả_mực.jpg
halong-bay	下龙湾	越南	下龙一号市场海鲜排档（Chợ Hạ Long 1）	['碳烤生蚝葱油', '皮皮虾bề bề']	Grilled_oysters_20171001.jpg
halong-bay	下龙湾	越南	游船上的落日烹饪课晚宴	['自己卷的炸春卷nem rán', '船家鱼露蘸汁']	Cha_gio.jpg
hanoi	河内	越南	Phở Gia Truyền Bát Đàn	['生牛肉粉phở tái', '熟牛腩粉phở chín']	Bowl_of_Meatball_pho.jpg
